a-line skirt, tucked-in button-up blouse, and low-heeled pumps
cable knit sweater, pleated skirt, and loafers
collared shirt, belted chinos, and driving moccasins
denim jacket, striped shirt, and white sneakers
floral sundress, cropped cardigan, and wedge sandals
gingham dress, cardigan, and ballet flats
high-waisted shorts, polo shirt, and boat shoes
khaki pants, striped shirt, and boat shoes
linen blazer, white t-shirt, and cuffed jeans
midi dress, gold chain necklace, and espadrilles
midi skirt, silk blouse, and kitten heels
plaid blazer, turtleneck sweater, and straight-leg pants
plaid skirt, chambray shirt, and ankle boots
sweater vest, pencil skirt, and mary jane pumps
tweed blazer, cable knit sweater, and leather loafers
wrap dress, pearl earrings, and slingback pumps
